model,AICc,AICcWeights,deltaAICc,modelType,transRates
bibi-sd20-bisse-equal,796.472715320068,5.86745656233515e-6,23.537421176657972,bisse,equal
bibi-sd20-bisse,790.654862114925,1.07592167055001e-4,17.719567971514948,bisse,vary
bibi-sd20-cid2-equal,778.301994937842,0.051781148670614,5.366700794431949,cid2,equal
bibi-sd20-cid2,800.300413753718,8.6551725232237e-7,27.365119610307943,cid2,vary
bibi-sd20-cid4-equal,772.93529414341,0.757767458025,0,cid4,equal
bibi-sd20-cid4,775.821694572032,0.178962509658434,2.8864004286219824,cid4,vary
bibi-sd20-hisse-equal,782.387088245264,0.00671591111314921,9.45179410185392,hisse,equal
bibi-sd20-hisse,783.126235359766,0.0046408890189106,10.19094121635601,hisse,vary
bibi-sd20-null-equal,795.434522120761,9.86031233680267e-6,22.499227977350984,null,equal
bibi-sd20-null,795.878323318354,7.8980606854017e-6,22.943029174943945,null,vary
